,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
4334,Kate & Leopold,2001,3,"Comedy, Fantasy, Romance",118,USA,"English, French",48000000,76019048,28019048,115.0,341.0,44.0,0
19759,Diritto di cronaca,1981,3,"Drama, Romance, Thriller",116,USA,"English, Spanish",12000000,40716963,28716963,27.0,115.0,64.0,0
19774,Arturo,1981,2,"Comedy, Romance",97,USA,English,7000000,95461682,88461682,44.0,132.0,69.0,0
19790,Blow Out,1981,4,"Crime, Drama, Mystery",108,USA,English,18000000,12000000,-6000000,123.0,199.0,86.0,1
19804,Libertà poco vigilata,1981,5,"Comedy, Drama",94,USA,English,11000000,31261269,20261269,5.0,16.0,55.0,0
19837,Alla maniera di Cutter,1981,2,"Crime, Drama, Mystery",109,USA,English,3000000,1752634,-1247366,43.0,60.0,70.0,0
19847,Benedizione mortale,1981,8,"Horror, Thriller",100,USA,English,2500000,8279042,5779042,114.0,73.0,56.0,0
19880,Entity,1982,2,"Drama, Horror",125,USA,English,9000000,13277558,4277558,122.0,145.0,35.0,0
19883,1997: fuga da New York,1981,10,"Action, Adventure, Sci-Fi",99,USA,English,6000000,25244626,19244626,250.0,343.0,76.0,1
19892,Uno scomodo testimone,1981,9,"Crime, Drama, Mystery",103,USA,English,8500000,6400000,-2100000,31.0,38.0,61.0,0
19912,Red e Toby nemiciamici,1981,11,"Animation, Adventure, Drama",83,USA,English,12000000,63456988,51456988,82.0,121.0,65.0,0
19918,L'assassino ti siede accanto,1981,4,"Horror, Mystery, Thriller",87,USA,English,1250000,21722776,20472776,165.0,437.0,26.0,0
19947,Il signore della morte,1981,10,Horror,92,USA,English,2500000,25533818,23033818,197.0,561.0,40.0,0
19948,La mano,1981,4,"Drama, Horror, Thriller",104,USA,English,6500000,2447576,-4052424,54.0,58.0,59.0,0
19961,La pazza storia del mondo,1981,12,"Comedy, History, Musical",92,USA,"English, Latin, French",11000000,31672907,20672907,48.0,145.0,47.0,0
19971,L'ululato,1981,4,Horror,91,USA,"English, Spanish",1000000,17985893,16985893,137.0,230.0,68.0,0
19993,Bolidi nella notte,1981,5,Drama,90,USA,English,2000000,1791147,-208853,2.0,11.0,48.0,0
20042,Gelosissimamente... tuo,1981,12,"Comedy, Fantasy, Sci-Fi",93,USA,English,8000000,26154211,18154211,16.0,50.0,27.0,0
20044,Mammina cara,1981,9,"Biography, Drama",129,USA,English,5000000,19032261,14032261,72.0,185.0,55.0,0
20061,I falchi della notte,1981,4,"Action, Crime, Thriller",99,USA,"English, German, French, Swedish",5000000,19905359,14905359,60.0,139.0,56.0,0
20083,Spiccioli dal cielo,1981,1,"Drama, Musical, Romance",108,USA,English,22000000,9171289,-12828711,45.0,68.0,64.0,0
20102,Lezioni maliziose,1981,6,Comedy,87,USA,English,2800000,26279000,23479000,20.0,37.0,34.0,0
20114,I predatori dell'arca perduta,1981,6,"Action, Adventure",115,USA,"English, German, Hebrew, Spanish, Arabic, Nepali",18000000,390133212,372133212,258.0,948.0,85.0,1
20115,Reds,1981,4,"Biography, Drama, History",195,USA,"English, Russian, German, French, Finnish, Italian",32000000,40382659,8382659,60.0,139.0,76.0,1
20124,Il grande ruggito,1981,10,"Adventure, Comedy, Thriller",102,USA,English,17000000,110048,-16889952,72.0,54.0,65.0,0
20128,Il volto dei potenti,1981,12,"Drama, Mystery, Romance",116,USA,English,16000000,10851261,-5148739,10.0,19.0,36.0,0
20166,Stripes - Un plotone di svitati,1981,6,"Comedy, War",106,USA,"English, Russian, Polish",10000000,85297000,75297000,65.0,166.0,68.0,0
20181,Taps - Squilli di rivolta,1981,12,Drama,126,USA,English,14000000,35856053,21856053,27.0,62.0,49.0,0
20182,"Tarzan, l'uomo scimmia",1981,7,"Adventure, Drama",115,USA,English,6500000,36565280,30065280,28.0,70.0,24.0,0
20188,Strade violente,1981,9,"Action, Crime, Drama",123,USA,English,5500000,11492915,5992915,127.0,139.0,78.0,1
20230,Wolfen - La belva immortale,1981,7,"Horror, Thriller",115,USA,English,17000000,10626725,-6373275,106.0,108.0,64.0,0
20244,48 ore,1982,9,"Action, Comedy, Crime",96,USA,English,12000000,78868508,66868508,95.0,141.0,71.0,0
20249,L'aereo più pazzo del mondo... sempre più pazzo,1982,12,"Comedy, Sci-Fi",85,USA,English,15000000,27150534,12150534,25.0,143.0,48.0,0
20262,Annie,1982,9,"Comedy, Drama, Family",126,USA,English,50000000,57059003,7059003,42.0,147.0,39.0,0
20292,Amici come prima,1982,12,"Comedy, Drama, Romance",116,USA,"English, Spanish",15000000,36821203,21821203,11.0,25.0,70.0,0
20293,Il più bel casino del Texas,1982,7,"Comedy, Musical",114,USA,English,35000000,69701637,34701637,16.0,56.0,40.0,0
20297,Blade Runner,1982,10,"Action, Sci-Fi, Thriller",117,USA,"English, German, Cantonese, Japanese, Hungarian, Arabic",28000000,41492614,13492614,257.0,1558.0,84.0,1
20307,Frontiera,1982,2,"Crime, Drama",108,USA,"English, Spanish",22000000,6118683,-15881317,33.0,48.0,66.0,0
20320,Cannery Row,1982,2,"Comedy, Drama, Romance",120,USA,English,11300000,5301539,-5998461,11.0,56.0,52.0,0
20321,Il bacio della pantera,1982,9,"Fantasy, Horror, Thriller",118,USA,English,18000000,7000000,-11000000,142.0,130.0,62.0,0
20339,Creepshow,1982,11,"Comedy, Fantasy, Horror",120,USA,English,8000000,21028755,13028755,178.0,235.0,59.0,0
20346,Il mistero del cadavere scomparso,1982,11,"Comedy, Crime, Mystery",88,USA,English,9000000,18196170,9196170,45.0,118.0,67.0,0
20357,A cena con gli amici,1982,3,"Comedy, Drama",110,USA,English,5000000,14099953,9099953,50.0,94.0,82.0,1
20367,E.T. - L'extra-terrestre,1982,12,"Family, Sci-Fi",115,USA,English,10500000,793482178,782982178,255.0,612.0,91.0,1
20377,La casa,1981,8,Horror,85,USA,English,350000,2893091,2543091,359.0,845.0,71.0,0
20385,Fuori di testa,1982,8,"Comedy, Drama",90,USA,English,4500000,27092880,22592880,138.0,279.0,61.0,0
20394,Firefox - Volpe di fuoco,1982,9,"Action, Adventure, Thriller",136,USA,"English, Russian",18000000,46708276,28708276,51.0,110.0,44.0,0
20395,Rambo,1982,12,"Action, Adventure",93,USA,English,15000000,125212904,110212904,199.0,473.0,61.0,0
20404,Week-end di terrore,1982,8,"Horror, Thriller",95,USA,English,2300000,36690067,34390067,266.0,420.0,30.0,0
20417,Grease 2,1982,6,"Comedy, Drama, Musical",115,USA,English,13200000,15171476,1971476,34.0,312.0,52.0,0
20438,Honkytonk Man,1982,12,"Comedy, Drama, Music",122,USA,English,2000000,4484991,2484991,19.0,35.0,50.0,0
20492,Cercando di uscire,1982,6,Comedy,105,USA,English,17000000,946461,-16053539,22.0,18.0,44.0,0
20540,Ufficiale e gentiluomo,1982,1,"Drama, Romance",124,USA,"English, Filipino",7500000,129795554,122295554,50.0,144.0,75.0,1
20541,Un sogno lungo un giorno,1981,1,"Drama, Musical, Romance",107,USA,"English, German",26000000,636796,-25363204,61.0,85.0,57.0,0
20560,Due donne in gara,1982,6,"Drama, Sport",124,USA,English,16000000,5672311,-10327689,17.0,31.0,71.0,0
20567,Poltergeist - Demoniache presenze,1982,11,"Horror, Thriller",114,USA,English,10700000,77142388,66442388,253.0,401.0,79.0,1
20608,Brisby e il segreto di Nimh,1982,7,"Animation, Adventure, Drama",82,USA,English,7000000,14665733,7665733,56.0,172.0,76.0,1
20619,Spara alla luna,1982,2,Drama,124,USA,English,12000000,9217530,-2782470,25.0,34.0,68.0,0
20620,Terrore in città,1982,4,"Action, Crime, Horror",103,USA,English,4500000,10490791,5990791,69.0,77.0,31.0,0
20640,Star Trek II - L'ira di Khan,1982,10,"Action, Adventure, Sci-Fi",113,USA,English,11200000,78912963,67712963,112.0,401.0,67.0,0
20642,Una lama nel buio,1982,1,"Crime, Drama, Mystery",93,USA,English,10000000,5979947,-4020053,26.0,55.0,43.0,0
20662,La cosa,1982,11,"Horror, Mystery, Sci-Fi",109,USA,"English, Norwegian",15000000,19629760,4629760,343.0,1108.0,57.0,0
20663,Things Are Tough All Over,1982,8,"Action, Comedy",90,USA,"English, French",7000000,21134374,14134374,5.0,13.0,40.0,0
20666,Tootsie,1982,4,"Comedy, Drama, Romance",116,USA,English,21000000,177200000,156200000,92.0,247.0,88.0,1
20669,Giocattolo a ore,1982,12,Comedy,102,USA,"English, German",17000000,47118057,30118057,13.0,45.0,16.0,0
20678,Tron,1982,12,"Action, Adventure, Sci-Fi",96,USA,English,17000000,33000000,16000000,165.0,303.0,58.0,0
20690,Il verdetto,1982,2,Drama,129,USA,English,16000000,53993738,37993738,90.0,183.0,77.0,1
20712,Il mondo secondo Garp,1982,5,"Comedy, Drama",136,USA,English,17000000,29712172,12712172,31.0,96.0,63.0,0
20731,10 minuti a mezzanotte,1983,3,"Crime, Drama, Thriller",101,USA,English,4520000,7175592,2655592,65.0,87.0,12.0,0
20742,Il ribelle,1983,5,"Drama, Romance, Sport",91,USA,English,5600000,17233166,11633166,26.0,61.0,62.0,0
20778,Il grande freddo,1983,4,"Comedy, Drama",105,USA,English,8000000,56399659,48399659,65.0,206.0,61.0,0
20786,Tuono blu,1983,5,"Action, Crime, Drama",109,USA,English,22000000,42313354,20313354,79.0,90.0,66.0,0
20791,Brainstorm - Generazione elettronica,1983,1,"Sci-Fi, Thriller",106,USA,English,15000000,10219460,-4780540,44.0,92.0,57.0,0
20812,Christine - La macchina infernale,1983,3,"Horror, Thriller",110,USA,English,9700000,21017849,11317849,179.0,289.0,57.0,0
20831,Cujo,1983,12,"Horror, Thriller",93,USA,English,5000000,21156152,16156152,131.0,188.0,57.0,0
20835,D.C. Cab,1983,4,"Action, Comedy",100,USA,English,8000000,16134627,8134627,23.0,34.0,46.0,0
20842,La zona morta,1983,9,"Drama, Horror, Sci-Fi",103,USA,"English, Russian",10000000,20766616,10766616,97.0,230.0,69.0,0
20888,Fire and Ice - Fuoco e ghiaccio,1983,8,"Animation, Fantasy, Adventure",81,USA,English,1200000,760883,-439117,60.0,72.0,45.0,0
20891,Flashdance,1983,4,"Drama, Music, Romance",95,USA,English,4000000,92921203,88921203,61.0,156.0,39.0,0
20912,Gorky Park,1983,12,"Crime, Drama, Mystery",128,USA,English,15000000,15856028,856028,33.0,74.0,60.0,0
20920,Halloween III - Il signore della notte,1982,10,"Horror, Mystery, Sci-Fi",98,USA,English,2500000,14400000,11900000,213.0,679.0,50.0,0
20947,Lo squalo 3,1983,7,"Adventure, Horror, Thriller",99,USA,English,20500000,87987055,67487055,90.0,317.0,27.0,0
20962,Re per una notte,1982,12,"Comedy, Crime, Drama",109,USA,English,20000000,2536242,-17463758,111.0,296.0,73.0,0
20980,Una magnum per McQuade,1983,4,"Action, Crime, Drama",107,USA,"English, Spanish",5000000,12232628,7232628,43.0,80.0,65.0,0
21028,National Lampoon's Vacation,1983,7,"Adventure, Comedy",98,USA,English,15000000,61399552,46399552,71.0,206.0,55.0,0
21034,Nightmares - Incubi,1983,9,"Horror, Sci-Fi",99,USA,English,6000000,6670680,670680,51.0,42.0,39.0,0
21069,American College,1983,7,"Comedy, Romance",89,USA,English,3500000,14049540,10549540,23.0,65.0,25.0,0
21085,Il ritorno dello Jedi,1983,10,"Action, Adventure, Fantasy",131,USA,English,32500000,475347111,442847111,202.0,839.0,58.0,0
21086,Ninja la furia umana,1983,9,"Action, Crime, Drama",90,USA,English,700000,13168027,12468027,65.0,57.0,32.0,0
21088,Uomini veri,1983,9,"Adventure, Biography, Drama",193,USA,"English, Russian",27000000,21192102,-5807898,75.0,194.0,91.0,1
21090,Risky Business - Fuori i vecchi... i figli ballano,1983,4,"Comedy, Crime, Drama",99,USA,"English, German",6200000,63541777,57341777,69.0,195.0,75.0,1
21097,Rusty il selvaggio,1983,3,"Crime, Drama, Romance",94,USA,English,10000000,2494480,-7505520,82.0,137.0,63.0,0
21112,Scarface,1983,2,"Crime, Drama",170,USA,"English, Spanish",25000000,66023585,41023585,177.0,1051.0,65.0,0
21133,Silkwood,1983,3,"Biography, Drama, History",131,USA,English,10000000,35615609,25615609,40.0,90.0,64.0,0
21153,Staying Alive,1983,7,"Drama, Music, Romance",93,USA,English,22000000,64892670,42892670,24.0,124.0,23.0,0
21161,Coraggio... fatti ammazzare,1983,1,"Action, Crime, Thriller",117,USA,English,22000000,67642693,45642693,77.0,153.0,52.0,0
21175,Voglia di tenerezza,1983,3,"Comedy, Drama",132,USA,English,8000000,108423489,100423489,59.0,207.0,79.0,1
21184,Essere o non essere,1983,12,"Comedy, Drama, War",107,USA,"English, Polish",9000000,13030214,4030214,32.0,40.0,61.0,0
21189,Una poltrona per due,1983,1,Comedy,116,USA,English,15000000,90404800,75404800,92.0,195.0,69.0,0
21201,Ai confini della realtà,1983,1,"Horror, Sci-Fi",101,USA,"English, French, German, Vietnamese",10000000,29450919,19450919,92.0,144.0,44.0,0
21206,Fratelli nella notte,1983,12,"Action, Drama, Thriller",105,USA,English,14500000,30503151,16003151,15.0,56.0,38.0,0
21211,La ragazza di San Diego,1983,4,"Comedy, Romance",99,USA,English,350000,17343596,16993596,57.0,88.0,66.0,0
21225,Wargames - Giochi di guerra,1983,10,"Action, Adventure, Drama",114,USA,English,12000000,79567667,67567667,84.0,192.0,77.0,1
21257,2010 - L'anno del contatto,1984,3,"Adventure, Mystery, Sci-Fi",116,USA,"English, Russian",28000000,40400657,12400657,91.0,250.0,53.0,0
21264,Due vite in gioco,1984,3,"Action, Adventure, Crime",128,USA,English,13000000,21689062,8689062,36.0,96.0,42.0,0
21288,Bachelor Party (Addio al celibato),1984,6,Comedy,105,USA,"English, Japanese",5000000,38435947,33435947,42.0,95.0,56.0,0
21294,Beat Street,1984,6,"Drama, Music",105,USA,English,9500000,16595791,7095791,18.0,33.0,68.0,0
21298,La miglior difesa è... la fuga,1984,7,"Comedy, War",94,USA,English,18000000,19265302,1265302,7.0,37.0,29.0,0
21299,Beverly Hills Cop - Un piedipiatti a Beverly Hills,1984,3,"Action, Comedy, Crime",105,USA,English,14000000,316360478,302360478,132.0,218.0,66.0,0
21303,Birdy - Le ali della libertà,1984,5,"Drama, War",120,USA,English,12000000,1455045,-10544955,41.0,69.0,71.0,0
21310,Blood Simple - Sangue facile,1984,8,"Crime, Drama, Thriller",99,USA,"English, Spanish",1500000,4227849,2727849,153.0,312.0,81.0,1
21313,Omicidio a luci rosse,1984,3,"Crime, Drama, Mystery",114,USA,English,10000000,8801940,-1198060,115.0,200.0,69.0,0
21315,Bolero extasy,1984,9,"Comedy, Drama, Romance",105,USA,English,7000000,8914881,1914881,28.0,50.0,13.0,0
21325,Broadway Danny Rose,1984,9,Comedy,84,USA,"English, Italian, Yiddish",8000000,10600497,2600497,79.0,95.0,82.0,1
21326,Fratello di un altro pianeta,1984,5,"Comedy, Sci-Fi",108,USA,"English, Spanish",350000,3677209,3327209,27.0,40.0,70.0,0
21330,C.H.U.D.,1984,8,"Horror, Sci-Fi",88,USA,English,1250000,4654423,3404423,81.0,114.0,57.0,0
21343,Grano rosso sangue,1984,10,"Horror, Thriller",92,USA,English,800000,14568989,13768989,142.0,257.0,45.0,0
21346,Per piacere... non salvarmi più la vita,1984,12,"Action, Comedy, Crime",93,USA,English,25000000,38348988,13348988,24.0,57.0,39.0,0
21355,Cotton Club,1984,12,"Crime, Drama, Music",127,USA,"English, Italian",58000000,25928721,-32071279,39.0,98.0,68.0,0
21390,Innamorarsi,1984,11,"Drama, Romance",106,USA,English,12000000,11129057,-870943,18.0,61.0,55.0,0
21399,Fenomeni paranormali incontrollabili,1984,9,"Action, Horror, Sci-Fi",114,USA,English,15000000,17080167,2080167,81.0,117.0,50.0,0
21402,Flashpoint,1984,8,"Action, Crime, Drama",93,USA,English,10000000,3854833,-6145167,16.0,26.0,39.0,0
21404,Footloose,1984,2,"Drama, Music, Romance",107,USA,English,8200000,80035402,71835402,63.0,144.0,42.0,0
21412,Venerdì 13 - Capitolo finale,1984,4,"Horror, Thriller",91,USA,English,2600000,32980880,30380880,187.0,374.0,33.0,0
21421,Ghostbusters (Acchiappafantasmi),1984,1,"Action, Comedy, Fantasy",105,USA,English,30000000,296425473,266425473,259.0,559.0,71.0,0
21430,Gremlins,1984,11,"Comedy, Fantasy, Horror",106,USA,"English, Spanish",11000000,153629030,142629030,246.0,320.0,70.0,0
21456,I pirati dello spazio,1984,3,"Action, Adventure, Comedy",91,USA,English,9000000,14255801,5255801,72.0,69.0,44.0,0
21462,Indiana Jones e il tempio maledetto,1984,9,"Action, Adventure",118,USA,"English, Sinhalese, Hindi",28000000,333107271,305107271,163.0,677.0,57.0,0
21469,Vertenza inconciliabile,1984,9,"Comedy, Drama, Romance",113,USA,English,6000000,12414210,6414210,21.0,31.0,52.0,0
21472,Pericolosamente Johnny,1984,12,"Comedy, Crime",90,USA,English,9000000,17124395,8124395,24.0,68.0,54.0,0
21481,The Karate Kid - Per vincere domani,1984,10,"Action, Drama, Family",126,USA,"English, Japanese",8000000,91119319,83119319,104.0,295.0,60.0,0
21498,Giochi stellari,1984,7,"Action, Adventure, Sci-Fi",101,USA,English,15000000,28733290,13733290,87.0,166.0,67.0,0
21539,Micki e Maude,1984,12,"Comedy, Romance",118,USA,English,15100000,26080861,10980861,6.0,17.0,64.0,0
21543,Rombo di tuono,1984,11,"Action, Adventure, Drama",101,USA,"English, Vietnamese",2550000,22812411,20262411,54.0,89.0,43.0,0
21551,Mosca a New York,1984,9,"Comedy, Drama, Romance",115,USA,"English, Russian",13000000,25068724,12068724,15.0,52.0,67.0,0
21559,Il migliore,1984,5,"Drama, Sport",138,USA,English,28000000,47951979,19951979,63.0,212.0,61.0,0
21567,La notte della cometa,1984,11,"Comedy, Horror, Sci-Fi",95,USA,English,700000,14418922,13718922,154.0,194.0,59.0,0
21568,Nightmare - Dal profondo della notte,1984,11,Horror,91,USA,English,1800000,25504513,23704513,216.0,791.0,76.0,1
21607,Philadelphia Experiment,1984,2,"Adventure, Drama, Romance",102,USA,English,21000000,8103330,-12896670,35.0,68.0,44.0,0
21614,Scuola di polizia,1984,8,Comedy,96,USA,English,4500000,81198894,76698894,62.0,170.0,41.0,0
21615,Il 'papa' di Greenwich Village,1984,7,"Action, Comedy, Crime",121,USA,English,8000000,6836201,-1163799,25.0,56.0,58.0,0
21619,Protocol,1984,12,Comedy,96,USA,English,12000000,26186631,14186631,10.0,30.0,55.0,0
21621,Purple Rain,1984,6,"Drama, Music, Romance",111,USA,English,7200000,70261906,63061906,82.0,122.0,55.0,0
21626,In gara con la luna,1984,3,"Comedy, Drama, Romance",108,USA,English,6500000,6045647,-454353,10.0,29.0,66.0,0
21631,Alba rossa,1984,11,"Action, Drama",114,USA,"English, Russian, Spanish",17000000,38376497,21376497,112.0,403.0,53.0,0
21634,Repo Man - Il recuperatore,1984,3,"Action, Comedy, Crime",92,USA,"English, Spanish",1500000,129000,-1371000,150.0,181.0,82.0,1
21636,La rivincita dei nerds,1984,8,Comedy,90,USA,English,8000000,40874452,32874452,68.0,140.0,44.0,0
21637,Nick lo scatenato,1984,6,"Comedy, Music",111,USA,English,28000000,21435321,-6564679,17.0,60.0,36.0,0
21641,Il fiume dell'ira,1984,4,Drama,124,USA,English,18000000,11489982,-6510018,18.0,17.0,46.0,0
21681,Natale di sangue,1984,11,"Horror, Thriller",79,USA,English,1065000,2491460,1426460,237.0,208.0,31.0,0
21684,Sixteen Candles - Un compleanno da ricordare,1984,4,"Comedy, Romance",93,USA,English,6500000,23686027,17186027,95.0,212.0,61.0,0
21690,Storia di un soldato,1984,11,"Crime, Drama, Mystery",101,USA,English,6000000,21821347,15821347,28.0,59.0,66.0,0
21695,Splash - Una sirena a Manhattan,1984,3,"Comedy, Fantasy, Romance",111,USA,"English, Swedish",8000000,69821334,61821334,45.0,120.0,71.0,0
21698,Star Trek III - Alla ricerca di Spock,1984,6,"Action, Adventure, Sci-Fi",105,USA,"English, Klingon, Russian, French",17000000,76471046,59471046,85.0,221.0,56.0,0
21699,Starman,1984,5,"Romance, Sci-Fi",115,USA,English,22000000,28744356,6744356,102.0,158.0,70.0,0
21705,Strade di fuoco,1984,6,"Action, Crime, Drama",93,USA,English,14500000,8089290,-6410710,112.0,195.0,59.0,0
21714,Tempo di swing,1984,4,"Drama, Romance, War",100,USA,English,15000000,6650206,-8349794,16.0,34.0,60.0,0
21720,Teachers,1984,4,"Comedy, Drama",107,USA,English,9000000,27774237,18774237,19.0,39.0,39.0,0
21725,This Is Spinal Tap,1984,12,"Comedy, Music",82,USA,English,2500000,4736202,2236202,86.0,370.0,92.0,1
21741,Un'adorabile infedele,1984,2,"Comedy, Music, Romance",96,USA,English,12000000,19928200,7928200,9.0,18.0,51.0,0
21784,Fuori orario,1985,5,"Comedy, Crime, Drama",97,USA,English,4500000,10609321,6109321,113.0,228.0,90.0,1
21785,Agnese di Dio,1985,9,"Drama, Mystery",98,USA,"English, French, Latin",10000000,25627836,15627836,30.0,52.0,52.0,0
21811,Ritorno al futuro,1985,10,"Adventure, Comedy, Sci-Fi",116,USA,English,19000000,388774684,369774684,246.0,1202.0,87.0,1
21838,Breakfast Club,1985,9,"Comedy, Drama",97,USA,English,1000000,51538286,50538286,156.0,879.0,66.0,0
21841,Chi più spende... più guadagna!,1985,9,Comedy,102,USA,English,20000000,45833132,25833132,45.0,70.0,37.0,0
21860,Chorus Line,1985,12,"Drama, Music, Musical",113,USA,English,27000000,14202899,-12797101,32.0,95.0,46.0,0
21864,"Signori, il delitto è servito",1985,4,"Comedy, Crime, Mystery",94,USA,"English, French",15000000,14643997,-356003,56.0,396.0,39.0,0
21866,Cocoon - L'energia dell'universo,1985,10,"Comedy, Drama, Sci-Fi",117,USA,English,17500000,85313124,67813124,57.0,94.0,65.0,0
21868,Il codice del silenzio,1985,5,"Action, Crime, Drama",101,USA,English,7000000,20345361,13345361,46.0,61.0,64.0,0
21870,Il colore viola,1985,9,Drama,154,USA,English,15000000,98467863,83467863,82.0,237.0,78.0,1
21872,Commando,1985,1,"Action, Adventure, Thriller",90,USA,English,10000000,57491000,47491000,150.0,498.0,51.0,0
21880,I due criminali più pazzi del mondo,1985,4,"Comedy, Crime, Horror",83,USA,English,3000000,5101,-2994899,37.0,58.0,34.0,0
21888,Il giorno degli zombi,1985,4,"Horror, Thriller",96,USA,English,3500000,5000000,1500000,131.0,454.0,60.0,0
21895,Cuori nel deserto,1985,6,"Drama, Romance",91,USA,English,1250000,2492088,1242088,22.0,50.0,67.0,0
21897,Cercasi Susan disperatamente,1985,4,"Comedy, Drama",104,USA,English,4500000,27398584,22898584,31.0,73.0,71.0,0
21929,Explorers,1985,7,"Adventure, Comedy, Family",109,USA,"English, German",25000000,9873044,-15126956,57.0,100.0,58.0,0
21931,FX - Effetto mortale,1986,12,"Action, Thriller",109,USA,English,10000000,20603715,10603715,40.0,59.0,71.0,0
21938,La febbre del gioco,1985,11,Drama,96,USA,English,7000000,618847,-6381153,7.0,6.0,25.0,0
21941,Fletch - Un colpo da prima pagina,1985,5,"Comedy, Crime, Mystery",98,USA,English,8000000,59612888,51612888,71.0,126.0,68.0,0
21949,Venerdì 13: il terrore continua,1985,8,"Horror, Mystery, Thriller",92,USA,English,2200000,21930418,19730418,152.0,390.0,16.0,0
21950,Ammazzavampiri,1985,2,"Fantasy, Horror, Thriller",106,USA,English,9000000,24922237,15922237,162.0,320.0,62.0,0
21962,I Goonies,1985,12,"Adventure, Comedy, Family",114,USA,"English, Spanish, Cantonese, Italian",19000000,63849520,44849520,123.0,495.0,62.0,0
22006,Tutto in una notte,1985,5,"Action, Comedy, Crime",115,USA,"English, Persian, French, Spanish",8000000,7562164,-437836,51.0,93.0,41.0,0
22007,Invasion U.S.A.,1985,1,"Action, Thriller",107,USA,"English, Russian, Spanish",10000000,17536256,7536256,69.0,111.0,29.0,0
22009,Doppio taglio,1985,4,"Drama, Mystery, Thriller",108,USA,English,15000000,40491165,25491165,33.0,86.0,60.0,0
22015,Il gioiello del Nilo,1985,3,"Action, Adventure, Comedy",106,USA,"English, Arabic",25000000,96773200,71773200,51.0,79.0,53.0,0
22029,Allan Quatermain e le miniere di re Salomone,1985,3,"Action, Adventure, Comedy",100,USA,English,12500000,15057465,2557465,38.0,84.0,29.0,0
22034,Krush Groove,1985,10,"Comedy, Drama, Music",97,USA,English,3000000,11052713,8052713,6.0,19.0,37.0,0
22038,Legend,1985,4,"Adventure, Fantasy, Romance",94,USA,"English, Italian",24500000,15502112,-8997888,129.0,325.0,30.0,0
22058,L'uomo con la scarpa rossa,1985,5,"Comedy, Thriller",92,USA,English,16000000,8645411,-7354589,29.0,51.0,31.0,0
22064,Dietro la maschera,1985,3,"Biography, Drama",120,USA,English,8000000,48230162,40230162,27.0,104.0,73.0,0
22071,Maledetta estate,1985,2,"Crime, Thriller",103,USA,English,7000000,4349446,-2650554,31.0,43.0,55.0,0
22098,Ma guarda un po' 'sti americani,1985,8,"Adventure, Comedy",95,USA,"English, Italian, German, French",17000000,49364621,32364621,44.0,122.0,47.0,0
22104,Nightmare 2 - La rivincita,1985,4,Horror,87,USA,English,3000000,29999213,26999213,134.0,372.0,43.0,0
22121,Se ti mordo... sei mio,1985,11,"Comedy, Drama, Fantasy",94,USA,English,3200000,10000000,6800000,46.0,56.0,64.0,0
22136,Il cavaliere pallido,1985,9,"Drama, Western",115,USA,English,6900000,41410568,34510568,55.0,157.0,61.0,0
22141,Pee-wee's Big Adventure,1985,8,"Adventure, Comedy, Family",91,USA,"English, French",6000000,40940662,34940662,58.0,206.0,47.0,0
22144,Perfect,1985,6,"Drama, Romance",115,USA,"English, French",19000000,12918858,-6081142,16.0,47.0,46.0,0
22154,Scuola di polizia 2: Prima missione,1985,3,Comedy,87,USA,English,7600000,55600000,48000000,33.0,91.0,39.0,0
22165,La rosa purpurea del Cairo,1985,5,"Comedy, Fantasy, Romance",82,USA,English,15000000,10631333,-4368667,92.0,159.0,75.0,1
22176,Re-Animator,1985,8,"Comedy, Horror, Sci-Fi",104,USA,"English, German",900000,2023414,1123414,195.0,240.0,73.0,0
22177,Scuola di geni,1985,8,"Comedy, Romance, Sci-Fi",108,USA,English,8000000,12952019,4952019,57.0,146.0,71.0,0
22185,Il ritorno dei morti viventi,1985,4,"Comedy, Horror, Sci-Fi",91,USA,English,4000000,14237880,10237880,237.0,339.0,66.0,0
22193,Rocky IV,1985,2,"Drama, Sport",91,USA,"English, Russian",30000000,300473716,270473716,111.0,380.0,40.0,0
22198,A 30 secondi dalla fine,1985,8,"Action, Adventure, Drama",111,USA,English,9000000,7683620,-1316380,73.0,186.0,67.0,0
22221,Silverado,1985,1,"Action, Crime, Drama",133,USA,English,26000000,32192570,6192570,58.0,186.0,64.0,0
22231,Spie come noi,1985,3,"Adventure, Comedy",102,USA,"English, Russian",22000000,60088980,38088980,38.0,88.0,22.0,0
22234,St. Elmo's Fire,1985,7,"Drama, Romance",110,USA,English,10000000,37803872,27803872,45.0,170.0,35.0,0
22240,Scherzare col fuoco,1985,4,"Action, Crime, Drama",109,USA,English,22000000,8489518,-13510482,20.0,25.0,31.0,0
22250,Sacco a pelo a tre piazze,1985,3,"Comedy, Drama, Romance",100,USA,English,4500000,18135531,13635531,56.0,79.0,76.0,1
22261,Target - Scuola omicidi,1985,2,"Action, Adventure, Crime",117,USA,"English, French, German",13000000,9023199,-3976801,10.0,34.0,53.0,0
22276,Vivere e morire a Los Angeles,1985,4,"Action, Crime, Drama",116,USA,"English, Arabic, Spanish",6000000,17307019,11307019,115.0,249.0,81.0,1
22299,Due volte nella vita,1985,11,"Drama, Romance",111,USA,English,8000000,8402424,402424,11.0,14.0,58.0,0
