,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
30441,Breakdown - La trappola,1997,4,"Crime, Drama, Mystery",93,USA,English,36000000,50159144,14159144,86.0,268.0,73.0,0
30453,Bulworth - Il senatore,1998,6,"Comedy, Drama, Romance",108,USA,English,30000000,29202884,-797116,107.0,234.0,75.0,1
30470,In cerca di Amy,1997,4,"Comedy, Drama, Romance",113,USA,English,250000,12021272,11771272,162.0,514.0,71.0,0
30487,Con Air,1997,8,"Action, Crime, Thriller",115,USA,"English, Spanish",75000000,224012234,149012234,133.0,402.0,52.0,0
30489,Ipotesi di complotto,1997,10,"Action, Mystery, Thriller",135,USA,English,75000000,136982834,61982834,86.0,175.0,49.0,0
30490,Contact,1997,11,"Drama, Mystery, Sci-Fi",150,USA,"English, Spanish, German, Russian",90000000,171120329,81120329,173.0,705.0,62.0,0
30492,Cop Land,1997,10,"Crime, Drama, Thriller",105,USA,English,15000000,44862187,29862187,145.0,242.0,64.0,0
30513,Dante's Peak - La furia della montagna,1997,4,"Action, Adventure, Thriller",108,USA,English,116000000,178127760,62127760,101.0,315.0,43.0,0
30521,Harry a pezzi,1997,2,Comedy,96,USA,"English, Hebrew",20000000,10686841,-9313159,77.0,136.0,61.0,0
30528,L'ombra del diavolo,1997,3,"Action, Crime, Drama",111,USA,English,90000000,140807547,50807547,72.0,129.0,53.0,0
30540,Il dottor Dolittle,1998,8,"Comedy, Family, Fantasy",85,USA,English,71500000,294456605,222956605,78.0,110.0,46.0,0
30545,Donnie Brasco,1997,11,"Biography, Crime, Drama",127,USA,"English, Italian, Japanese",35000000,124909762,89909762,114.0,292.0,76.0,1
30570,La baia di Eva,1997,3,Drama,109,USA,English,6000000,14842388,8842388,40.0,214.0,78.0,1
30574,Una ragazza sfrenata,1997,5,"Action, Comedy, Crime",101,USA,English,20000000,14515490,-5484510,48.0,106.0,34.0,0
30577,Face/Off - Due facce di un assassino,1997,10,"Action, Crime, Sci-Fi",138,USA,"English, Latin",80000000,245676146,165676146,152.0,614.0,82.0,1
30583,Due padri di troppo,1997,10,"Comedy, Romance",98,USA,English,85000000,28598376,-56401624,35.0,58.0,43.0,0
30589,Fire Down Below - L'inferno sepolto,1997,9,"Action, Drama, Thriller",105,USA,English,60000000,16228448,-43771552,47.0,115.0,40.0,0
30592,Flubber - Un professore tra le nuvole,1997,3,"Comedy, Family, Sci-Fi",93,USA,English,80000000,177977226,97977226,60.0,81.0,37.0,0
