,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
506,Metropolis,1927,10,"Drama, Sci-Fi",153,Germany,German,8.3,156076,6000000.0,1349711,-4650289.0,98.0
628,Il circo,1928,10,"Comedy, Romance",72,USA,English,8.1,27414,900000.0,26916,-873084.0,90.0
1048,Luci della città,1931,4,"Comedy, Drama, Romance",87,USA,English,8.5,162668,1500000.0,46008,-1453992.0,99.0
1086,Frankenstein,1931,12,"Drama, Horror, Romance",70,USA,"English, Latin",7.8,63315,291000.0,1626,-289374.0,91.0
1301,Freaks,1932,2,"Drama, Horror",64,USA,"English, German, French",7.9,41173,310607.0,4072,-306535.0,80.0
1556,42a strada,1933,9,"Comedy, Musical, Romance",89,USA,English,7.4,10490,439000.0,1600,-437400.0,83.0
1598,King Kong,1933,12,"Adventure, Horror, Sci-Fi",100,USA,English,7.9,77507,670000.0,651,-669349.0,90.0
1815,Cerco il mio amore,1934,10,"Comedy, Musical, Romance",107,USA,"English, French, Italian",7.5,6797,520000.0,6750,-513250.0,80.0
2017,Il club dei 39,1935,4,"Mystery, Thriller",86,UK,English,7.6,50519,50000.0,51711,1711.0,93.0
2048,La moglie di Frankenstein,1935,6,"Drama, Horror, Sci-Fi",75,USA,English,7.8,42196,397024.0,10493,-386531.0,95.0
2237,Roberta,1935,3,"Comedy, Musical, Romance",106,USA,"English, French, Russian",7.1,2860,610000.0,2493,-607507.0,66.0
2454,Tempi moderni,1936,3,"Comedy, Drama, Family",87,USA,English,8.5,211250,1500000.0,457688,-1042312.0,96.0
2542,Follie d'inverno,1936,2,"Comedy, Musical, Romance",103,USA,"English, French",7.6,11998,886000.0,4961,-881039.0,91.0
2795,Il bandito della Casbah,1937,10,"Crime, Drama, Romance",94,France,"French, Arabic",7.7,6180,60000.0,155895,95895.0,98.0
2827,Biancaneve e i sette nani,1937,11,"Animation, Family, Fantasy",83,USA,English,7.6,177157,1499000.0,184925486,183426486.0,95.0
2925,Susanna!,1938,8,"Comedy, Family, Romance",102,USA,English,7.9,53931,1073000.0,11180,-1061820.0,91.0
3266,Via col vento,1939,3,"Drama, History, Romance",238,USA,English,8.1,283975,3977000.0,402352579,398375579.0,97.0
3348,Mr. Smith va a Washington,1939,4,"Comedy, Drama",129,USA,English,8.1,104547,1900000.0,144738,-1755262.0,73.0
3451,Il mago di Oz,1939,4,"Adventure, Family, Fantasy",102,USA,English,8.0,366293,2777000.0,26142032,23365032.0,100.0
3553,Fantasia,1940,9,"Animation, Family, Fantasy",125,USA,English,7.8,86795,2280000.0,76411401,74131401.0,96.0
3672,Pinocchio,1940,11,"Animation, Comedy, Family",88,USA,English,7.4,127618,2600000.0,121892045,119292045.0,99.0
3679,Rebecca - La prima moglie,1940,11,"Drama, Mystery, Romance",130,USA,"English, French",8.1,119307,1288000.0,72275,-1215725.0,86.0
3816,Quarto potere,1941,11,"Drama, Mystery",119,USA,"English, Italian",8.3,389322,839727.0,1594107,754380.0,100.0
3844,Dumbo,1941,11,"Animation, Drama, Family",64,USA,English,7.2,116855,950000.0,3731,-946269.0,96.0
3940,Il mistero del falco,1941,10,"Film-Noir, Mystery",100,USA,English,8.0,146815,375000.0,1255,-373745.0,96.0
4080,L'uomo lupo,1941,3,Horror,70,USA,English,7.3,23071,180000.0,420,-179580.0,72.0
4126,Casablanca,1942,11,"Drama, Romance, War",102,USA,"English, French, German, Italian",8.5,509953,950000.0,4374761,3424761.0,100.0
4206,Prigioniera di un segreto,1942,12,"Drama, Mystery",100,USA,English,6.8,2213,1172000.0,15392,-1156608.0,61.0
4334,Kate & Leopold,2001,3,"Comedy, Fantasy, Romance",118,USA,"English, French",6.4,77852,48000000.0,76019048,28019048.0,44.0
4705,La fiamma del peccato,1944,10,"Crime, Drama, Film-Noir",107,USA,English,8.3,139564,927262.0,13886,-913376.0,95.0
4733,I migliori anni della nostra vita,1946,4,"Drama, Romance, War",170,USA,English,8.0,56280,2100000.0,23656620,21556620.0,93.0
4949,Breve incontro,1945,3,"Drama, Romance",86,UK,"English, French",8.0,34524,170000.0,107384,-62616.0,92.0
5054,Il romanzo di Mildred,1945,12,"Crime, Drama, Film-Noir",111,USA,English,8.0,22055,1453000.0,10128,-1442872.0,88.0
5256,Grandi speranze,1946,5,"Adventure, Drama, Mystery",118,UK,English,7.8,21540,350000.0,19329,-330671.0,90.0
5278,La vita è meravigliosa,1946,3,"Drama, Family, Fantasy",130,USA,"English, French",8.6,388310,3180000.0,6130720,2950720.0,89.0
5326,Notorious - L'amante perduta,1946,10,"Drama, Film-Noir, Romance",102,USA,"English, French, Portuguese",7.9,90400,2000000.0,113061,-1886939.0,100.0
5965,Nodo alla gola,1948,11,"Crime, Drama, Mystery",80,USA,English,8.0,125949,1500000.0,10046,-1489954.0,73.0
6026,Il tesoro della Sierra Madre,1948,11,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",8.2,111478,3000000.0,215295,-2784705.0,98.0
6386,Eva contro Eva,1950,10,Drama,138,USA,"English, French",8.2,117634,1400000.0,150438,-1249562.0,98.0
6441,Cenerentola,1950,9,"Animation, Family, Fantasy",74,USA,English,7.3,142164,2900000.0,95126535,92226535.0,85.0
6507,La sanguinaria,1950,3,"Crime, Drama, Film-Noir",87,USA,English,7.6,11210,400000.0,17322,-382678.0,74.0
6618,Rashomon,1950,3,"Crime, Drama, Mystery",88,Japan,Japanese,8.2,148193,250000.0,46808,-203192.0,98.0
6727,La regina d'Africa,1951,11,"Adventure, Drama, Romance",105,"UK, USA","English, German, Swahili",7.7,70236,1000000.0,51357,-948643.0,91.0
6733,Un americano a Parigi,1951,9,"Drama, Musical, Romance",114,USA,"English, French, German",7.2,29738,2723903.0,272619,-2451284.0,83.0
6752,L'asso nella manica,1951,2,"Drama, Film-Noir",111,USA,"English, Spanish, Latin",8.1,30541,1800000.0,2300000,500000.0,72.0
6969,Pandora,1951,2,"Drama, Fantasy, Mystery",122,UK,"English, Spanish",7.0,3240,1500000.0,31805,-1468195.0,82.0
7025,Un tram che si chiama Desiderio,1951,4,Drama,122,USA,"English, Spanish",8.0,97240,1800000.0,49523,-1750477.0,97.0
7380,Cantando sotto la pioggia,1952,2,"Comedy, Musical, Romance",103,USA,English,8.3,213152,2540800.0,1864182,-676618.0,99.0
7483,Spettacolo di varietà,1953,5,"Comedy, Musical, Romance",112,USA,"English, French, German",7.5,9760,2169120.0,14537,-2154583.0,93.0
7575,Da qui all'eternità,1953,10,"Drama, Romance, War",118,USA,English,7.6,42401,1650000.0,36416,-1613584.0,85.0
7652,Il piccolo fuggitivo,1953,1,"Drama, Family",80,USA,English,7.5,2414,30000.0,162373,132373.0,91.0
7705,Le avventure di Peter Pan,1953,12,"Animation, Adventure, Family",77,USA,"English, American Sign Language",7.3,123085,4000000.0,87404651,83404651.0,76.0
7907,L'ammutinamento del Caine,1954,12,"Drama, War",124,USA,English,7.7,23931,2000000.0,21750000,19750000.0,63.0
7938,Il delitto perfetto,1954,11,"Crime, Thriller",105,USA,English,8.2,153300,1400000.0,18816,-1381184.0,75.0
7978,Godzilla,1954,4,"Action, Drama, Horror",96,Japan,Japanese,7.6,28109,175000.0,562711,387711.0,78.0
8098,La finestra sul cortile,1954,4,"Mystery, Thriller",112,USA,English,8.4,432390,1000000.0,37032034,36032034.0,100.0
8132,I sette samurai,1954,8,"Action, Adventure, Drama",207,Japan,Japanese,8.6,307958,125000000.0,322773,-124677227.0,98.0
8145,È nata una stella,1954,2,"Drama, Musical, Romance",154,USA,English,7.6,15391,5019770.0,4348890,-670880.0,89.0
8243,Bob il giocatore,1956,8,"Crime, Drama, Thriller",98,France,"French, English",7.7,10585,17500000.0,15586,-17484414.0,80.0
8383,Lilli e il vagabondo,1955,12,"Animation, Adventure, Comedy",76,USA,English,7.3,119585,4000000.0,93933394,89933394.0,78.0
8442,La morte corre sul fiume,1955,2,"Crime, Drama, Film-Noir",92,USA,English,8.0,80215,795000.0,2001,-792999.0,99.0
8488,Gioventù bruciata,1955,2,Drama,111,USA,English,7.7,81625,1500000.0,199963,-1300037.0,89.0
8718,Il gigante,1956,3,"Drama, Western",201,USA,"English, Spanish",7.6,33284,5400000.0,32855818,27455818.0,84.0
8758,Invasione degli ultracorpi,1956,10,"Drama, Horror, Sci-Fi",80,USA,English,7.7,43866,417000.0,1861,-415139.0,92.0
8795,L'uomo che sapeva troppo,1956,9,"Drama, Thriller",120,USA,"English, Arabic, French",7.5,56718,2500000.0,8190,-2491810.0,78.0
8973,La parola ai giurati,1957,9,"Crime, Drama",96,USA,English,8.9,668473,350000.0,576,-349424.0,96.0
9032,Il ponte sul fiume Kwai,1957,3,"Adventure, Drama, War",161,"UK, USA","English, Japanese, Thai",8.1,198693,3000000.0,27200000,24200000.0,87.0
9252,Orizzonti di gloria,1957,1,"Drama, War",88,USA,"English, German, Latin",8.4,172671,935000.0,5252,-929748.0,90.0
9307,Il settimo sigillo,1957,1,"Drama, Fantasy",96,Sweden,"Swedish, Latin",8.2,159318,150000.0,230571,80571.0,88.0
9324,Piombo rovente,1957,10,"Drama, Film-Noir",96,USA,English,8.1,27248,3400000.0,7704,-3392296.0,100.0
9624,I giovani arrabbiati,1959,10,Drama,98,UK,English,7.0,3326,250000.0,7593,-242407.0,69.0
9772,L'infernale Quinlan,1958,8,"Crime, Drama, Film-Noir",95,USA,"English, Spanish",8.0,96864,829000.0,2286947,1457947.0,99.0
9792,La donna che visse due volte,1958,12,"Mystery, Romance, Thriller",128,USA,English,8.3,352786,2479000.0,7796389,5317389.0,100.0
9855,Ben-Hur,1959,10,"Adventure, Drama, History",212,USA,English,8.1,214854,15000000.0,74427638,59427638.0,90.0
10055,Intrigo internazionale,1959,10,"Adventure, Mystery, Thriller",136,USA,"English, French",8.3,291628,3101000.0,73446,-3027554.0,98.0
10123,La bella addormentata nel bosco,1959,12,"Animation, Family, Fantasy",75,USA,English,7.2,132245,6000000.0,51600000,45600000.0,85.0
10125,A qualcuno piace caldo,1959,9,"Comedy, Music, Romance",121,USA,English,8.2,238048,2883848.0,83169282,80285434.0,98.0
10134,"Improvvisamente, l'estate scorsa",1959,3,"Drama, Mystery, Thriller",114,"UK, USA",English,7.6,13489,3000000.0,9749,-2990251.0,54.0
10213,L'appartamento,1960,10,"Comedy, Drama, Romance",125,USA,English,8.3,158999,3000000.0,177066,-2822934.0,94.0
10440,Le petit soldat,1963,4,"War, Drama",88,France,French,7.2,6094,180000.0,24296,-155704.0,97.0
10455,Psyco,1960,10,"Horror, Mystery, Thriller",109,USA,English,8.5,586765,806947.0,32008644,31201697.0,97.0
10504,Spartacus,1960,12,"Adventure, Biography, Drama",197,USA,English,7.9,121994,12000000.0,1844789,-10155211.0,87.0
10517,Robinson nell'isola dei corsari,1960,9,"Adventure, Family",126,USA,English,7.2,13786,5000000.0,40356000,35356000.0,61.0
10533,L'uomo che visse nel futuro,1960,8,"Adventure, Romance, Sci-Fi",103,USA,English,7.6,35438,750000.0,5902,-744098.0,67.0
10621,Colazione da Tiffany,1961,1,"Comedy, Drama, Romance",115,USA,"English, Portuguese, French, Japanese",7.6,163106,2500000.0,357750,-2142250.0,76.0
10742,Suspense,1961,5,Horror,100,UK,English,7.8,25893,430000.0,30103,-399897.0,88.0
10750,Vincitori e vinti,1961,12,"Drama, War",179,USA,"English, German",8.2,67359,3000000.0,12180,-2987820.0,60.0
10829,La carica dei 101,1961,11,"Animation, Adventure, Comedy",79,USA,English,7.2,149029,4000000.0,216026182,212026182.0,83.0
10948,La donna è donna,1961,10,"Comedy, Drama, Romance",85,"France, Italy",French,7.5,15070,160000.0,100665,-59335.0,71.0
10958,Victim,1961,2,Drama,90,UK,English,7.7,4964,153756.0,25962,-127794.0,85.0
10965,West Side Story,1961,9,"Crime, Drama, Musical",153,USA,"English, Spanish",7.5,94819,6000000.0,44061777,38061777.0,86.0
11054,Agente 007 - Licenza di uccidere,1962,1,"Action, Adventure, Thriller",110,UK,"English, French",7.2,144418,1100000.0,16068461,14968461.0,78.0
11115,La conquista del West,1962,1,Western,164,USA,"English, Arapaho",7.1,18210,15000000.0,76729,-14923271.0,56.0
11147,Lawrence d'Arabia,1962,10,"Adventure, Biography, Drama",228,UK,"English, Arabic, Turkish",8.3,261504,15000000.0,45710874,30710874.0,100.0
11154,Lolita,1962,12,"Crime, Drama, Romance",153,"UK, USA","English, French, Spanish, German",7.6,90641,2000000.0,4631,-1995369.0,79.0
11169,Va' e uccidi,1962,2,"Drama, Thriller",126,USA,"English, Spanish",7.9,70205,2200000.0,2757256,557256.0,94.0
11176,Anna dei miracoli,1962,11,"Biography, Drama",106,USA,"English, American Sign Language",8.1,15609,500000.0,4139,-495861.0,83.0
11303,Il buio oltre la siepe,1962,9,"Crime, Drama",129,USA,English,8.2,288787,2000000.0,599146,-1400854.0,88.0
11383,Gli uccelli,1963,10,"Drama, Horror, Mystery",119,USA,English,7.7,167317,2500000.0,32655,-2467345.0,90.0
11407,Sciarada,1963,12,"Comedy, Mystery, Romance",113,USA,"English, French, German, Italian, Spanish",7.9,66360,3000000.0,173057,-2826943.0,83.0
11413,Cleopatra,1963,1,"Biography, Drama, History",192,"Switzerland, UK, USA",English,7.0,28653,44000000.0,57777778,13777778.0,60.0
11445,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,1964,4,Comedy,95,"UK, USA","English, Russian",8.4,441115,1800000.0,9443876,7643876.0,97.0
11465,"A 007, dalla Russia con amore",1963,1,"Action, Adventure, Thriller",115,UK,"English, Russian, Turkish, Romany",7.4,115330,2000000.0,24808046,22808046.0,84.0
11473,Il gattopardo,1963,3,"Drama, History",186,"Italy, France","Italian, Latin, French",8.0,22412,2900000000.0,269763,-2899730237.0,100.0
11486,La grande fuga,1963,8,"Adventure, Drama, History",172,USA,"English, German, French, Russian, Spanish",8.2,219677,4000000.0,227940,-3772060.0,86.0
11492,Gli invasati,1963,10,Horror,112,UK,English,7.5,33652,1400000.0,742,-1399258.0,74.0
11517,"Questo pazzo, pazzo, pazzo, pazzo mondo",1963,4,"Action, Adventure, Comedy",210,USA,English,7.5,37207,9400000.0,46332858,36932858.0,59.0
11659,La spada nella roccia,1963,12,"Animation, Adventure, Comedy",79,USA,English,7.2,87317,3000000.0,12000000,9000000.0,61.0
11751,Bande à part,1964,8,"Comedy, Crime, Drama",95,France,"French, English",7.7,22127,120000.0,106074,-13926.0,88.0
11756,Becket e il suo re,1964,3,"Biography, Drama, History",148,"UK, USA","English, Latin, Welsh",7.8,13368,3000000.0,149327,-2850673.0,68.0
11854,Agente 007 - Missione Goldfinger,1964,1,"Action, Adventure, Thriller",110,UK,"English, Chinese, Spanish",7.7,168759,3000000.0,51160174,48160174.0,87.0
11869,Tutti per uno,1964,8,"Comedy, Music, Musical",87,UK,"English, German, French",7.6,39382,560000.0,2360561,1800561.0,96.0
11898,"Baciami, stupido",1964,12,"Comedy, Romance",125,USA,English,7.0,6817,3500000.0,8869,-3491131.0,63.0
11928,Mary Poppins,1964,10,"Comedy, Family, Fantasy",139,USA,English,7.8,154320,6000000.0,103082283,97082283.0,88.0
11948,My Fair Lady,1964,3,"Drama, Family, Musical",170,USA,English,7.8,84812,17000000.0,72661442,55661442.0,95.0
11962,Nothing But a Man,1964,9,"Drama, Romance",95,USA,English,8.0,1348,160000.0,13063,-146937.0,87.0
11980,Per un pugno di dollari,1964,9,"Action, Drama, Western",99,"Italy, Spain, West Germany","Italian, Spanish",8.0,192338,200000.0,14516248,14316248.0,65.0
12126,La battaglia di Algeri,1966,9,"Drama, War",121,"Algeria, Italy","Arabic, French, English",8.1,51195,800000.0,964028,164028.0,96.0
12189,Il dottor Zivago,1965,12,"Drama, Romance, War",197,"Italy, USA","English, Russian, French",8.0,68268,11000000.0,111918564,100918564.0,69.0
12300,Sierra Charriba,1965,4,"Adventure, War, Western",123,USA,"English, French, Spanish",6.7,6919,3800000.0,20807,-3779193.0,62.0
12365,Per qualche dollaro in più,1965,12,Western,132,"Italy, Spain, West Germany","Italian, English",8.3,226039,600000.0,15000000,14400000.0,74.0
12387,Repulsion,1965,7,"Drama, Horror, Thriller",105,UK,English,7.7,47680,300000.0,33174,-266826.0,91.0
12427,Tutti insieme appassionatamente,1965,12,"Biography, Drama, Family",172,USA,"English, German",8.0,198561,8200000.0,159413574,151213574.0,63.0
12446,Agente 007 - Thunderball: operazione tuono,1965,12,"Action, Adventure, Thriller",130,UK,"English, French",7.0,103075,9000000.0,63595658,54595658.0,64.0
12559,Blow-Up,1966,9,"Drama, Mystery, Thriller",111,"UK, Italy",English,7.6,55097,1800000.0,6066,-1793934.0,82.0
12567,"Il buono, il brutto, il cattivo",1966,12,Western,161,"Italy, Spain, West Germany",Italian,8.8,672499,1200000.0,25252481,24052481.0,90.0
12901,Chi ha paura di Virginia Woolf?,1966,10,Drama,131,USA,"English, Latin, Spanish",8.0,67817,7500000.0,28005068,20505068.0,75.0
12964,James Bond 007 - Casino Royale,1967,12,Comedy,131,"UK, USA","English, French, Scottish Gaelic, German, Japanese",5.2,26559,12000000.0,2324,-11997676.0,48.0
13062,Il laureato,1967,9,"Comedy, Drama, Romance",106,USA,English,8.0,249910,3000000.0,105015008,102015008.0,83.0
13067,Indovina chi viene a cena?,1967,4,"Comedy, Drama",108,USA,English,7.8,38349,4000000.0,56666667,52666667.0,63.0
13073,Impiccalo più in alto,1968,4,"Drama, Western",114,USA,English,7.0,34306,1600000.0,11000000,9400000.0,62.0
13109,La calda notte dell'ispettore Tibbs,1967,1,"Crime, Drama, Mystery",110,USA,English,7.9,65862,2000000.0,27669,-1972331.0,75.0
13127,Il libro della giungla,1967,12,"Animation, Adventure, Family",78,USA,English,7.6,162375,4000000.0,210310084,206310084.0,65.0
13238,Riflessi in un occhio d'oro,1967,10,"Drama, Romance, Thriller",108,USA,English,6.8,6295,4500000.0,65232,-4434768.0,67.0
13304,Due per la strada,1967,10,"Comedy, Drama, Romance",111,UK,"English, French, Italian",7.5,11933,4000000.0,17380,-3982620.0,78.0
13342,Agente 007 - Si vive solo due volte,1967,10,"Action, Adventure, Thriller",117,UK,"English, Japanese, Russian",6.9,95485,9500000.0,43084787,33584787.0,61.0
13354,2001: Odissea nello spazio,1968,12,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",8.3,587866,12000000.0,68989547,56989547.0,84.0
13414,Bullitt,1968,4,"Action, Crime, Thriller",114,USA,English,7.4,59535,5500000.0,511350,-4988650.0,81.0
13428,Citty citty bang bang,1968,1,"Adventure, Family, Fantasy",144,"UK, USA","English, German, French, Latin",6.9,40116,10000000.0,398,-9999602.0,64.0
13499,Funny Girl,1968,2,"Biography, Comedy, Drama",151,USA,English,7.4,18998,14100000.0,52224263,38124263.0,89.0
13636,La notte dei morti viventi,1968,8,"Horror, Thriller",96,USA,English,7.9,113263,114000.0,236452,122452.0,89.0
13644,La strana coppia,1968,9,Comedy,105,USA,English,7.7,30880,1200000.0,44527234,43327234.0,86.0
13666,Il pianeta delle scimmie,1968,4,"Adventure, Sci-Fi",112,USA,English,8.0,162872,5800000.0,32599045,26799045.0,79.0
13673,"Per favore, non toccate le vecchiette",1967,1,"Comedy, Music",88,USA,"English, German",7.6,49059,941000.0,375143,-565857.0,96.0
13766,Il caso Thomas Crown,1968,10,"Crime, Drama, Romance",102,USA,English,7.0,22150,4300000.0,43050,-4256950.0,66.0
13809,Chi sta bussando alla mia porta?,1967,1,"Drama, Romance",90,USA,English,6.7,8136,75000.0,16085,-58915.0,63.0
13818,Yellow Submarine,1968,2,"Animation, Adventure, Comedy",90,"UK, USA",English,7.4,24111,250000.0,1273261,1023261.0,79.0
13888,Butch Cassidy,1969,9,"Biography, Crime, Drama",110,USA,"English, Spanish",8.0,199182,6000000.0,102310639,96310639.0,66.0
13889,C'era una volta il West,1968,12,Western,165,"Italy, USA","Italian, English, Spanish",8.5,295220,5000000.0,112911,-4887089.0,80.0
13950,Easy Rider,1969,2,"Adventure, Drama",95,USA,"English, Spanish, Greek, Ancient (to 1453)",7.3,97792,360000.0,123276,-236724.0,85.0
14007,"Hello, Dolly!",1969,12,"Adventure, Comedy, Musical",146,USA,English,7.1,13203,25000000.0,400881,-24599119.0,51.0
14031,Un colpo all'italiana,1969,7,"Action, Comedy, Crime",99,"UK, USA","English, Italian",7.3,40739,3000000.0,113867,-2886133.0,70.0
14099,Un uomo da marciapiede,1969,10,Drama,113,USA,"English, Italian",7.8,98735,3600000.0,44801177,41201177.0,79.0
14134,Agente 007 - Al servizio segreto di Sua Maestà,1969,12,"Action, Adventure, Thriller",142,UK,"English, German, French",6.7,78472,7000000.0,22787885,15787885.0,61.0
14145,La ballata della città senza nome,1969,5,"Comedy, Drama, Musical",164,USA,English,6.6,12067,20000000.0,14500000,-5500000.0,50.0
14260,Gli avvoltoi hanno fame,1970,12,"Adventure, Romance, War",116,"USA, Mexico","English, Spanish, French, Latin",7.0,23223,2500000.0,5050000,2550000.0,62.0
14290,Dove osano le aquile,1968,8,"Action, Adventure, War",158,UK,"English, German",7.7,50712,7700000.0,7100000,-600000.0,63.0
14295,Il mucchio selvaggio,1969,9,"Action, Adventure, Western",145,USA,"English, Spanish, German",7.9,76081,6244087.0,638641,-5605446.0,97.0
14323,Airport,1970,3,"Action, Drama, Thriller",137,USA,"English, Italian",6.6,17068,10000000.0,100489151,90489151.0,42.0
14340,Gli Aristogatti,1970,11,"Animation, Adventure, Comedy",78,USA,English,7.1,91085,4000000.0,35459543,31459543.0,66.0
14357,L'altra faccia del pianeta delle scimmie,1970,4,"Action, Adventure, Sci-Fi",95,USA,English,6.1,41159,3000000.0,18999718,15999718.0,46.0
14407,Il conformista,1970,1,Drama,113,"Italy, France, West Germany","Italian, French, Latin, Chinese",8.0,26063,750000.0,400747,-349253.0,100.0
14539,I guerrieri,1970,6,"Adventure, Comedy, War",144,USA,"English, French, German",7.6,44340,4000000.0,5200000,1200000.0,50.0
14559,Piccolo grande uomo,1970,3,"Adventure, Comedy, Drama",139,USA,English,7.6,32221,15000000.0,31559552,16559552.0,63.0
14569,Love Story,1970,7,"Drama, Romance",100,USA,English,6.9,29838,2200000.0,106550690,104350690.0,84.0
14574,M.A.S.H.,1970,5,"Comedy, Drama, War",116,USA,"English, Japanese, Korean",7.4,66451,3500000.0,81600000,78100000.0,80.0
14637,"Patton, generale d'acciaio",1970,3,"Biography, Drama, War",172,USA,"English, German, French, Russian, Arabic, Italian",7.9,92387,12000000.0,61749765,49749765.0,91.0
14714,L'uomo che fuggì dal futuro,1971,10,"Drama, Sci-Fi, Thriller",86,USA,English,6.7,47108,777000.0,2437000,1660000.0,75.0
14823,Il dittatore dello stato libero di Bananas,1971,9,Comedy,82,USA,"English, Spanish, Yiddish, Italian",7.0,33355,2000000.0,136200,-1863800.0,67.0
14879,Arancia meccanica,1971,9,"Crime, Drama, Sci-Fi",136,"UK, USA",English,8.3,740301,2200000.0,26903440,24703440.0,77.0
14910,Agente 007 - Una cascata di diamanti,1971,12,"Action, Adventure, Thriller",120,UK,"English, German",6.6,93366,7200000.0,43819547,36619547.0,59.0
14912,Ispettore Callaghan: il caso 'Scorpio' è tuo!!,1971,1,"Action, Crime, Thriller",102,USA,English,7.7,140624,4000000.0,35976000,31976000.0,90.0
14942,Fuga dal pianeta delle scimmie,1971,11,"Action, Sci-Fi",98,USA,English,6.3,31416,2500000.0,12348905,9848905.0,69.0
14948,Il violinista sul tetto,1971,12,"Drama, Family, Musical",181,USA,"English, Hebrew, Russian",8.0,38350,9000000.0,10404330,1404330.0,67.0
14960,Il braccio violento della legge,1971,3,"Action, Crime, Drama",104,USA,"English, French",7.7,107402,1800000.0,51700000,49900000.0,94.0
15016,E Johnny prese il fucile,1971,4,"Drama, War",111,USA,English,7.9,15306,1000000.0,2735,-997265.0,71.0
15029,Una squillo per l'ispettore Klute,1971,9,"Crime, Mystery, Thriller",114,USA,English,7.1,21650,2500000.0,34050,-2465950.0,81.0
15038,L'ultimo spettacolo,1971,12,"Drama, Romance",118,USA,English,8.0,41253,1300000.0,29146131,27846131.0,93.0
15119,Wake in Fright,1971,10,"Drama, Thriller",109,"UK, Australia, USA",English,7.7,9995,800000.0,218164,-581836.0,85.0
15131,Brivido nella notte,1971,11,"Drama, Thriller",102,USA,English,7.0,24992,725000.0,10600000,9875000.0,78.0
15242,El Topo,1970,4,"Drama, Western",125,Mexico,Spanish,7.4,24798,1000000.0,160468,-839532.0,65.0
15271,Punto zero,1971,3,"Action, Crime, Thriller",99,USA,English,7.2,26109,1585000.0,12442673,10857673.0,61.0
15302,Willy Wonka e la fabbrica di cioccolato,1971,10,"Family, Fantasy, Musical",100,"USA, East Germany, West Germany, Belgium, UK","English, French, German, Italian",7.8,173962,3000000.0,527081,-2472919.0,67.0
15392,America 1929 - Sterminateli senza pietà,1972,1,"Crime, Drama, Romance",88,USA,English,6.0,8307,600000.0,6443,-593557.0,61.0
15417,Il fascino discreto della borghesia,1972,4,Comedy,102,"France, Italy, Spain","French, Spanish",7.9,37426,800000.0,15930,-784070.0,93.0
15431,1999: conquista della Terra,1972,6,"Action, Sci-Fi",88,USA,English,6.1,29581,1700000.0,9043472,7343472.0,49.0
15460,Un tranquillo weekend di paura,1972,11,"Adventure, Drama, Thriller",109,USA,English,7.7,96769,2000000.0,4534,-1995466.0,80.0
15494,Tutto quello che avreste voluto sapere sul sesso ma non avete mai osato chiedere,1972,3,Comedy,88,USA,"English, Italian",6.8,37546,2000000.0,18090065,16090065.0,66.0
15514,Frenzy,1972,10,Thriller,116,UK,English,7.4,40353,2000000.0,4121,-1995879.0,91.0
15525,Getaway!,1972,12,"Action, Crime, Thriller",123,USA,"English, Spanish",7.4,27312,3352254.0,9588,-3342666.0,55.0
15528,Il padrino,1972,9,"Crime, Drama",175,USA,"English, Italian, Latin",9.2,1572674,6000000.0,246120974,240120974.0,100.0
15547,Lo straniero senza nome,1973,9,"Drama, Mystery, Western",105,USA,English,7.5,48732,5500000.0,15706540,10206540.0,69.0
15699,L'avventura del Poseidon,1972,12,"Action, Adventure, Drama",117,USA,"English, Hebrew",7.1,40042,5000000.0,84563118,79563118.0,70.0
15767,Solaris,1972,5,"Drama, Mystery, Sci-Fi",167,Soviet Union,"Russian, German",8.1,78200,1000000.0,134788,-865212.0,90.0
15876,American Graffiti,1973,4,"Comedy, Drama",110,USA,English,7.4,80176,777000.0,115000000,114223000.0,97.0
15897,La rabbia giovane,1973,3,"Action, Crime, Drama",94,USA,"English, Spanish",7.8,63933,450000.0,54396,-395604.0,93.0
15899,Anno 2670 - Ultimo atto,1973,6,"Action, Sci-Fi",93,USA,English,5.5,28309,1800000.0,8844595,7044595.0,40.0
15996,A Venezia... un dicembre rosso shocking,1973,12,"Drama, Mystery, Thriller",110,"UK, Italy","English, Italian",7.2,47920,1500000.0,108000,-1392000.0,96.0
16010,I 3 dell'Operazione Drago,1973,1,"Action, Crime, Drama",102,"Hong Kong, USA","English, Cantonese",7.7,94488,850000.0,40821,-809179.0,83.0
16015,L'esorcista,1973,9,Horror,122,USA,"English, Latin, Greek, French, German, Arabic, Kurdish",8.0,354234,11000000.0,441306145,430306145.0,81.0
16127,Agente 007 - Vivi e lascia morire,1973,12,"Action, Adventure, Thriller",121,UK,"English, Hungarian",6.8,94566,7000000.0,35377836,28377836.0,55.0
16129,Il lungo addio,1973,4,"Comedy, Crime, Drama",112,USA,"English, Spanish",7.6,25265,1700000.0,21619,-1678381.0,87.0
16148,"Mean Streets - Domenica in chiesa, lunedì all'inferno",1973,11,"Crime, Drama, Thriller",112,USA,"English, Italian",7.3,97172,500000.0,41131,-458869.0,96.0
16195,Papillon,1973,12,"Biography, Crime, Drama",151,"France, USA","English, Spanish",8.0,119445,12000000.0,53267000,41267000.0,58.0
