,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
34876,Hardball,2001,3,"Drama, Sport",106,"Germany, USA","English, German",6.4,27785,32000000.0,44102389,12102389.0,48.0
34929,Da che pianeta vieni?,2000,12,"Comedy, Sci-Fi",105,USA,English,5.6,8995,60000000.0,14145677,-45854323.0,41.0
34945,Da ladro a poliziotto,1999,6,"Action, Comedy, Crime",93,"Germany, USA","English, Spanish",6.3,73661,65000000.0,117758500,52758500.0,46.0
34957,Est-ovest - Amore-libertà,1999,3,"Adventure, Drama, History",121,"Russia, Ukraine, Bulgaria, France, Spain","French, Russian",7.4,4549,11500000.0,6031521,-5468479.0,61.0
34959,Scoprendo Forrester,2000,3,Drama,136,USA,"English, German",7.3,81537,43000000.0,80049764,37049764.0,62.0
34978,Minority Report,2002,9,"Action, Crime, Mystery",145,USA,"English, Swedish",7.6,498830,102000000.0,358372926,256372926.0,80.0
34983,Osmosis Jones,2001,8,"Animation, Action, Adventure",95,USA,English,6.3,31815,70000000.0,14026418,-55973582.0,57.0
34993,The Specials,2000,9,"Action, Comedy, Fantasy",82,USA,English,5.8,2166,1000000.0,13276,-986724.0,38.0
34997,Terminator 3 - Le macchine ribelli,2003,9,"Action, Sci-Fi",109,"USA, Germany, UK",English,6.3,371749,200000000.0,433371112,233371112.0,66.0
34998,Traffic,2000,3,"Crime, Drama, Thriller",147,"USA, Mexico, Germany","English, Spanish",7.6,193193,48000000.0,207515725,159515725.0,86.0
35000,Quasi famosi,2000,4,"Adventure, Comedy, Drama",122,USA,"English, French",7.9,247626,60000000.0,47383689,-12616311.0,90.0
35013,1 km da Wall Street,2000,1,"Crime, Drama, Thriller",120,USA,"English, Russian",7.0,48459,7000000.0,28780255,21780255.0,63.0
35014,Crime Shades,2001,9,"Crime, Drama, Music",105,"USA, Canada",English,5.8,6264,13500000.0,794481,-12705519.0,44.0
35026,Pene d'amor perdute,2000,4,"Romance, Comedy, Musical",93,"UK, France, USA",English,6.0,4308,13000000.0,299792,-12700208.0,35.0
35036,Urbania,2000,8,Drama,103,USA,English,6.8,2897,225000.0,1032075,807075.0,73.0
35056,L'uomo bicentenario,1999,2,"Comedy, Drama, Sci-Fi",132,"USA, Germany",English,6.9,108368,100000000.0,87423861,-12576139.0,42.0
35104,"Io, me & Irene",2000,9,Comedy,116,USA,"English, German",6.6,219069,51000000.0,149270999,98270999.0,49.0
35107,Mission to Mars,2000,5,"Adventure, Sci-Fi, Thriller",114,"USA, Canada, France",English,5.7,69565,100000000.0,110983407,10983407.0,34.0
35120,In linea con l'assassino,2002,6,"Crime, Thriller",81,USA,"English, Swahili",7.0,247774,13000000.0,97837138,84837138.0,56.0
35121,Pollock,2000,5,"Biography, Drama",122,USA,English,7.0,26571,6000000.0,10994533,4994533.0,77.0
35128,Il destino di un cavaliere,2001,11,"Action, Adventure, Romance",132,USA,"English, French",6.9,167807,65000000.0,117487473,52487473.0,56.0
35191,O come Otello,2001,9,"Drama, Romance, Thriller",95,USA,English,6.1,19049,5000000.0,19260537,14260537.0,53.0
35195,Trappola criminale,2000,12,"Action, Adventure, Crime",104,USA,English,5.8,37005,42000000.0,32168970,-9831030.0,37.0
35199,Pallottole cinesi,2000,8,"Action, Adventure, Comedy",110,"USA, Hong Kong","English, Mandarin, Sioux, Spanish",6.6,117582,55000000.0,99274467,44274467.0,77.0
35201,Snow Day,2000,12,"Adventure, Comedy, Family",89,USA,English,5.1,11354,13000000.0,62464731,49464731.0,34.0
35214,Wonder Boys,2000,10,"Comedy, Drama",107,"USA, Germany, UK, Japan",English,7.2,60557,55000000.0,33426588,-21573412.0,73.0
35221,Battaglia per la Terra - Una saga dell'anno 3000,2000,6,"Action, Adventure, Sci-Fi",118,USA,English,2.5,75222,73000000.0,29725663,-43274337.0,9.0
35228,Il mistero della casa sulla collina,1999,4,"Crime, Fantasy, Horror",93,USA,English,5.7,52561,37000000.0,42593455,5593455.0,28.0
35231,Little Nicky - Un diavolo a Manhattan,2000,6,"Comedy, Fantasy",90,USA,English,5.3,96432,85000000.0,58292295,-26707705.0,38.0
35252,The Blair Witch Project - Il mistero della strega di Blair,1999,2,"Horror, Mystery",81,USA,English,6.5,227601,60000.0,248639099,248579099.0,81.0
35257,Chi ha ucciso la signora Dearly?,2000,8,"Comedy, Crime, Mystery",96,USA,English,5.7,13012,37000000.0,15910104,-21089896.0,25.0
35259,Frequency - Il futuro è in ascolto,2000,11,"Crime, Drama, Mystery",118,USA,English,7.3,99464,31000000.0,68106245,37106245.0,67.0
35264,Jesus' Son,1999,8,Drama,107,"Canada, USA",English,6.9,6822,2500000.0,1302067,-1197933.0,76.0
35276,The Simian Line,2000,1,"Drama, Romance",106,USA,English,5.4,365,2000000.0,19823,-1980177.0,46.0
35277,Space Cowboys,2000,9,"Action, Adventure, Thriller",130,USA,English,6.4,72407,65000000.0,128884132,63884132.0,73.0
35278,Le insolite sospette - Sugar & Spice,2001,6,"Comedy, Crime",81,USA,English,5.7,13351,27000000.0,16923761,-10076239.0,48.0
35287,Bounce,2000,11,"Drama, Romance",106,USA,English,5.7,19816,35000000.0,53425292,18425292.0,52.0
35297,Pazzo di te,2000,4,"Comedy, Drama, Romance",91,USA,"English, French",5.0,14190,11000000.0,24419914,13419914.0,13.0
35303,Fuori in 60 secondi,2000,9,"Action, Crime, Thriller",118,USA,English,6.5,256788,90000000.0,237202299,147202299.0,35.0
35328,Il patriota,2000,8,"Action, Drama, History",165,"USA, Germany","English, French",7.2,250764,110000000.0,215294342,105294342.0,63.0
35339,"Slap Her, She's French!",2002,2,"Comedy, Romance",92,"Germany, UK, USA","English, French, Spanish, Italian",5.1,5365,10000000.0,1789525,-8210475.0,44.0
35348,Anatomy,2000,8,"Horror, Thriller",103,Germany,"German, Latin",6.1,11530,8400000.0,10501958,2101958.0,33.0
35351,Blade II,2002,8,"Action, Fantasy, Horror",117,"Germany, USA","English, Romanian, Czech",6.7,196524,54000000.0,155010032,101010032.0,52.0
35377,Price of Glory,2000,3,"Drama, Sport",118,USA,English,6.3,782,18000000.0,3548556,-14451444.0,32.0
35393,Birthday Girl,2001,1,"Comedy, Crime, Thriller",93,"UK, USA","English, Russian",6.1,24116,13000000.0,16171098,3171098.0,51.0
35412,Human Traffic,1999,3,"Comedy, Music",99,"UK, Ireland",English,7.1,22755,2200000.0,104257,-2095743.0,53.0
35424,Love Stinks,1999,9,Comedy,94,USA,English,5.8,4878,4000000.0,2924635,-1075365.0,23.0
